5066, "", "variable", "Pantalón Vaquero SPG603", "", "22", "45,90", "", "pendiente", "", "", "talla", "32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62", 1, 0, "", "color", "vino,negro", 1, 0, "vino"
5067, 5066, "variation", "Pantalón Vaquero SPG603", "", "22", "45,90", 0, "pendiente", "", "", "talla", "32", "", 0, "", "color", "vino", "", 0, ""
5068, 5066, "variation", "Pantalón Vaquero SPG603", "", "22", "45,90", 0, "pendiente", "", "", "talla", "34", "", 0, "", "color", "vino", "", 0, ""
5069, 5066, "variation", "Pantalón Vaquero SPG603", "", "22", "45,90", 0, "pendiente", "", "", "talla", "36", "", 0, "", "color", "vino", "", 0, ""
5070, 5066, "variation", "Pantalón Vaquero SPG603", "", "22", "45,90", 0, "pendiente", "", "", "talla", "38", "", 0, "", "color", "vino", "", 0, ""
5071, 5066, "variation", "Pantalón Vaquero SPG603", "", "22", "45,90", 0, "pendiente", "", "", "talla", "40", "", 0, "", "color", "vino", "", 0, ""
5072, 5066, "variation", "Pantalón Vaquero SPG603", "", "22", "45,90", 0, "pendiente", "", "", "talla", "42", "", 0, "", "color", "vino", "", 0, ""
5073, 5066, "variation", "Pantalón Vaquero SPG603", "", "22", "45,90", 0, "pendiente", "", "", "talla", "44", "", 0, "", "color", "vino", "", 0, ""
5074, 5066, "variation", "Pantalón Vaquero SPG603", "", "22", "45,90", 0, "pendiente", "", "", "talla", "46", "", 0, "", "color", "vino", "", 0, ""
5075, 5066, "variation", "Pantalón Vaquero SPG603", "", "22", "45,90", 0, "pendiente", "", "", "talla", "48", "", 0, "", "color", "vino", "", 0, ""
5076, 5066, "variation", "Pantalón Vaquero SPG603", "", "22", "45,90", 1, "pendiente", "", "", "talla", "50", "", 0, "", "color", "vino", "", 0, ""
5077, 5066, "variation", "Pantalón Vaquero SPG603", "", "22", "45,90", 1, "pendiente", "", "", "talla", "52", "", 0, "", "color", "vino", "", 0, ""
5078, 5066, "variation", "Pantalón Vaquero SPG603", "", "22", "45,90", 1, "pendiente", "", "", "talla", "54", "", 0, "", "color", "vino", "", 0, ""
5079, 5066, "variation", "Pantalón Vaquero SPG603", "", "22", "45,90", 1, "pendiente", "", "", "talla", "56", "", 0, "", "color", "vino", "", 0, ""
5080, 5066, "variation", "Pantalón Vaquero SPG603", "", "22", "45,90", 1, "pendiente", "", "", "talla", "58", "", 0, "", "color", "vino", "", 0, ""
5081, 5066, "variation", "Pantalón Vaquero SPG603", "", "22", "45,90", 1, "pendiente", "", "", "talla", "60", "", 0, "", "color", "vino", "", 0, ""
5082, 5066, "variation", "Pantalón Vaquero SPG603", "", "22", "45,90", 0, "pendiente", "", "", "talla", "62", "", 0, "", "color", "vino", "", 0, ""
5083, 5066, "variation", "Pantalón Vaquero SPG603", "", "22", "45,90", 0, "pendiente", "", "", "talla", "32", "", 0, "", "color", "negro", "", 0, ""
5084, 5066, "variation", "Pantalón Vaquero SPG603", "", "22", "45,90", 0, "pendiente", "", "", "talla", "34", "", 0, "", "color", "negro", "", 0, ""
5085, 5066, "variation", "Pantalón Vaquero SPG603", "", "22", "45,90", 0, "pendiente", "", "", "talla", "36", "", 0, "", "color", "negro", "", 0, ""
5086, 5066, "variation", "Pantalón Vaquero SPG603", "", "22", "45,90", 0, "pendiente", "", "", "talla", "38", "", 0, "", "color", "negro", "", 0, ""
5087, 5066, "variation", "Pantalón Vaquero SPG603", "", "22", "45,90", 0, "pendiente", "", "", "talla", "40", "", 0, "", "color", "negro", "", 0, ""
5088, 5066, "variation", "Pantalón Vaquero SPG603", "", "22", "45,90", 0, "pendiente", "", "", "talla", "42", "", 0, "", "color", "negro", "", 0, ""
5089, 5066, "variation", "Pantalón Vaquero SPG603", "", "22", "45,90", 0, "pendiente", "", "", "talla", "44", "", 0, "", "color", "negro", "", 0, ""
5090, 5066, "variation", "Pantalón Vaquero SPG603", "", "22", "45,90", 0, "pendiente", "", "", "talla", "46", "", 0, "", "color", "negro", "", 0, ""
5091, 5066, "variation", "Pantalón Vaquero SPG603", "", "22", "45,90", 0, "pendiente", "", "", "talla", "48", "", 0, "", "color", "negro", "", 0, ""
5092, 5066, "variation", "Pantalón Vaquero SPG603", "", "22", "45,90", 0, "pendiente", "", "", "talla", "50", "", 0, "", "color", "negro", "", 0, ""
5093, 5066, "variation", "Pantalón Vaquero SPG603", "", "22", "45,90", 1, "pendiente", "", "", "talla", "52", "", 0, "", "color", "negro", "", 0, ""
5094, 5066, "variation", "Pantalón Vaquero SPG603", "", "22", "45,90", 0, "pendiente", "", "", "talla", "54", "", 0, "", "color", "negro", "", 0, ""
5095, 5066, "variation", "Pantalón Vaquero SPG603", "", "22", "45,90", 0, "pendiente", "", "", "talla", "56", "", 0, "", "color", "negro", "", 0, ""
5096, 5066, "variation", "Pantalón Vaquero SPG603", "", "22", "45,90", 1, "pendiente", "", "", "talla", "58", "", 0, "", "color", "negro", "", 0, ""
5097, 5066, "variation", "Pantalón Vaquero SPG603", "", "22", "45,90", 1, "pendiente", "", "", "talla", "60", "", 0, "", "color", "negro", "", 0, ""
5098, 5066, "variation", "Pantalón Vaquero SPG603", "", "22", "45,90", 0, "pendiente", "", "", "talla", "62", "", 0, "", "color", "negro", "", 0, ""
